"pathway" "deceacelist"
"187" "Leishmaniasis" "Selenium Micronutrient Network;Adipogenesis;Allograft Rejection;TWEAK Signaling Pathway;SIDS Susceptibility Pathways;TGF Beta Signaling Pathway;Spinal Cord Injury;Vitamin B12 Metabolism;Hypertrophy Model;IL-6 signaling pathway;Senescence and Autophagy;Cytokines and Inflammatory Response;Folate Metabolism"
"188" "Scleroderma, Localized" "Matrix Metalloproteinases;Adipogenesis;FAS pathway and Stress induction of HSP regulation;TGF Beta Signaling Pathway;Arrhythmogenic Right Ventricular Cardiomyopathy;Cytokines and Inflammatory Response"
"189" "Somatosensory Disorders" "Cytokines and Inflammatory Response"
"190" "Silver-Russell Syndrome" ""
"191" "Periodontal Diseases" "Vitamin B12 Metabolism;Endochondral Ossification;Cytokines and Inflammatory Response;Folate Metabolism"
"192" "Cystitis, Interstitial" "Toll-like receptor signaling pathway;Spinal Cord Injury;Regulation of toll-like receptor signaling pathway;ErbB Signaling Pathway;Folate Metabolism"
"193" "Granulomatous Disease, Chronic" ""
"194" "Ovarian Diseases" ""
"195" "Basal Ganglia Diseases" "Monoamine GPCRs;Nicotine Activity on Dopaminergic Neurons"
"196" "Lassa Fever" ""
"197" "Liposarcoma, Myxoid" ""
"198" "Folic Acid Deficiency" "Fluoropyrimidine Activity;Trans-sulfuration and one carbon metabolism;One carbon donor;One Carbon Metabolism;Cardiac Progenitor Differentiation;Vitamin B12 Metabolism;Glycine Metabolism;Endochondral Ossification;Integrated Pancreatic Cancer Pathway;Folate Metabolism"
"199" "Primary Ovarian Insufficiency" "Ovarian Infertility Genes"
"200" "Pulmonary Blastoma" "mRNA Processing;miRNA Biogenesis"
"201" "INTERSTITIAL PNEUMONITIS, DESQUAMATIVE, FAMILIAL" ""
"202" "Acidosis, Lactic" ""
"203" "Optic Atrophy" ""
"204" "Varicose Veins" "Matrix Metalloproteinases;Endochondral Ossification"
"205" "Dyskinesias" "Monoamine GPCRs;Nicotine Activity on Dopaminergic Neurons;Dopamine metabolism"
"206" "Tic Disorders" ""
"207" "Epilepsy, Rolandic" ""
"208" "Seminoma" "FAS pathway and Stress induction of HSP regulation;Apoptosis Modulation by HSP70;TP53 Network;Apoptosis"
"209" "Anemia, Hemolytic" "Glycolysis and Gluconeogenesis;Glutathione metabolism;Oxidative Stress;Sulfation Biotransformation Reaction;Cori Cycle;Transcriptional activation by NRF2"
"210" "Microphthalmos" ""
"211" "Vestibular Diseases" ""
"212" "Branchio-Oto-Renal Syndrome" ""
"213" "MYELOFIBROSIS" "Cardiac Progenitor Differentiation;Endochondral Ossification;Serotonin Receptor 2 and STAT3 Signaling"
"214" "Blood Coagulation Disorders" "Complement and Coagulation Cascades;Blood Clotting Cascade;Vitamin B12 Metabolism;Folate Metabolism"
"215" "Factor XIII Deficiency" "Complement and Coagulation Cascades;Blood Clotting Cascade;Steroid Biosynthesis"
"216" "Sinus Thrombosis, Intracranial" "Fluoropyrimidine Activity;Selenium Micronutrient Network;Blood Clotting Cascade;Trans-sulfuration and one carbon metabolism;One carbon donor;One Carbon Metabolism;Vitamin B12 Metabolism;Glycine Metabolism;Folate-Alcohol and Cancer Pathway;Folate Metabolism"
"217" "Thrombophilia" "Complement and Coagulation Cascades;Blood Clotting Cascade;ACE Inhibitor Pathway"
"218" "Gastroenteritis" ""
"219" "Sagittal Sinus Thrombosis" "Complement and Coagulation Cascades;Blood Clotting Cascade;Osteopontin Signaling"
"220" "Hemophilia A, acquired" "Complement and Coagulation Cascades;Blood Clotting Cascade"
"221" "Tyrosinemias" ""
"222" "Blood Platelet Disorders" ""
"223" "Brain Infarction" "Complement and Coagulation Cascades;Blood Clotting Cascade;ACE Inhibitor Pathway;Vitamin B12 Metabolism;Folate Metabolism"
"224" "Corneal Neovascularization" "Angiogenesis;Endochondral Ossification"
"225" "Acrocephalosyndactylia" "Neural Crest Differentiation"
"226" "Ichthyosis Vulgaris" "Gastric cancer network 2;Arylhydrocarbon receptor (AhR) signaling pathway"
"227" "Fibrous Dysplasia, Polyostotic" "Estrogen signaling pathway;Selenium Metabolism and Selenoproteins"
"228" "Rhabdomyosarcoma, Alveolar" "TP53 Network;Signaling Pathways in Glioblastoma"
"229" "Favism" "Glutathione metabolism;Sulfation Biotransformation Reaction;Pentose Phosphate Pathway;Cori Cycle"
"230" "Coronary Aneurysm" ""
"231" "Keratoderma, Palmoplantar" ""
"232" "Pseudopseudohypoparathyroidism" "Calcium Regulation in the Cardiac Cell;Corticotropin-releasing hormone;Estrogen signaling pathway;Myometrial Relaxation and Contraction Pathways;G Protein Signaling Pathways;TSH signaling pathway;Endothelin Pathways;Serotonin Receptor 4/6/7 and NR3C Signaling"
"233" "Enterocolitis, Necrotizing" "Type II interferon signaling (IFNG);Matrix Metalloproteinases;Toll-like receptor signaling pathway;Allograft Rejection;Inflammatory Response Pathway;TGF Beta Signaling Pathway;Spinal Cord Injury;Hypertrophy Model;Cytokines and Inflammatory Response"
"234" "Parapsoriasis" "Proteasome Degradation;Allograft Rejection"
"235" "Behcet Syndrome" "Type II interferon signaling (IFNG);Selenium Micronutrient Network;Allograft Rejection;Inflammatory Response Pathway;Spinal Cord Injury;Vitamin B12 Metabolism;Hypertrophy Model;Cytokines and Inflammatory Response;Folate Metabolism"
"236" "Lipoma" ""
"237" "Diabetic Angiopathies" "Blood Clotting Cascade;Statin Pathway;ACE Inhibitor Pathway;Vitamin B12 Metabolism"
"238" "Peroxisomal Disorders" "Steroid Biosynthesis;Peroxisomal beta-oxidation of tetracosanoyl-CoA"
"239" "Hyperlipidemia, Familial Combined" "Complement and Coagulation Cascades;Selenium Micronutrient Network;Triacylglyceride Synthesis;Adipogenesis;Statin Pathway;SREBP signalling;Vitamin B12 Metabolism;Vitamin A and Carotenoid Metabolism;SREBF and miR33 in cholesterol and lipid homeostasis;Folate Metabolism"
"240" "Leukostasis" "Type II interferon signaling (IFNG);Selenium Micronutrient Network;Interleukin-11 Signaling Pathway;RANKL/RANK Signaling Pathway;Spinal Cord Injury;Vitamin B12 Metabolism;Folate Metabolism"
"241" "Chondroma" ""
"242" "Vipoma" ""
"243" "Hepatitis, Chronic" ""
"244" "Leishmaniasis, Mucocutaneous" "Type II interferon signaling (IFNG);Matrix Metalloproteinases;Selenium Micronutrient Network;Allograft Rejection;TWEAK Signaling Pathway;FAS pathway and Stress induction of HSP regulation;Aryl Hydrocarbon Receptor;Inflammatory Response Pathway;TGF Beta Signaling Pathway;Spinal Cord Injury;Apoptosis Modulation by HSP70;Vitamin B12 Metabolism;Hypertrophy Model;Monoamine Transport;Arylhydrocarbon receptor (AhR) signaling pathway;Amyotrophic lateral sclerosis (ALS);EBV LMP1 signaling;Type II diabetes mellitus;Cytokines and Inflammatory Response;Folate Metabolism"
"245" "Trichuriasis" "Type II interferon signaling (IFNG);Selenium Micronutrient Network;Inflammatory Response Pathway;Vitamin B12 Metabolism;Hypertrophy Model;Cytokines and Inflammatory Response"
"246" "Placenta Diseases" "Selenium Micronutrient Network;Folate Metabolism"
"247" "Rhabdomyosarcoma" "B Cell Receptor Signaling Pathway;Estrogen signaling pathway;DNA Damage Response (only ATM dependent);Aryl Hydrocarbon Receptor;TCR Signaling Pathway;Structural Pathway of Interleukin 1 (IL-1);TGF Beta Signaling Pathway;Leptin signaling pathway;Cardiac Progenitor Differentiation;Oncostatin M Signaling Pathway;Androgen receptor signaling pathway;Hypertrophy Model;Endochondral Ossification;TP53 Network;Apoptosis;IL-1 signaling pathway;AGE/RAGE pathway;ErbB Signaling Pathway;Integrated Pancreatic Cancer Pathway;Alpha 6 Beta 4 signaling pathway;Integrated Breast Cancer Pathway;MAPK Cascade;Signaling Pathways in Glioblastoma;TFs Regulate miRNAs related to cardiac hypertrophy;FSH signaling pathway"
"248" "Cystitis" ""
"249" "Ophthalmoplegia, Chronic Progressive External" "Mitochondrial Gene Expression;Cytokines and Inflammatory Response"
"250" "Schnitzler Syndrome" "Leptin signaling pathway"
"251" "Tuberculosis, Bovine" "Allograft Rejection;Inflammatory Response Pathway;IL-4 Signaling Pathway;Spinal Cord Injury;Cytokines and Inflammatory Response;Folate Metabolism"
"252" "Angina, Unstable" "Complement and Coagulation Cascades;Toll-like receptor signaling pathway;Blood Clotting Cascade;ACE Inhibitor Pathway;Osteopontin Signaling;Spinal Cord Injury;Monoamine Transport;Regulation of toll-like receptor signaling pathway;Senescence and Autophagy;Folate Metabolism"
"253" "Diabetic Ketoacidosis" ""
"254" "Coronary Thrombosis" "Complement and Coagulation Cascades;ACE Inhibitor Pathway;Monoamine Transport"
"255" "Keratoconus" ""
"256" "Epidermolysis Bullosa, Junctional" "Focal Adhesion;Inflammatory Response Pathway;Alpha 6 Beta 4 signaling pathway"
"257" "Niemann-Pick Disease, Type C" "SREBF and miR33 in cholesterol and lipid homeostasis"
"258" "HIV-Associated Lipodystrophy Syndrome" "Toll-like receptor signaling pathway;Adipogenesis;Allograft Rejection;TWEAK Signaling Pathway;FAS pathway and Stress induction of HSP regulation;SIDS Susceptibility Pathways;TSLP Signaling Pathway;Spinal Cord Injury;Regulation of toll-like receptor signaling pathway;EBV LMP1 signaling;TNF alpha Signaling Pathway;Type II diabetes mellitus;Cytokines and Inflammatory Response;Folate Metabolism"
"259" "Olfaction Disorders" "Myometrial Relaxation and Contraction Pathways;Small Ligand GPCRs"
"260" "Candidiasis, Oral" ""
"261" "Joint Diseases" ""
"262" "Leukemia, Lymphoid" "Selenium Micronutrient Network;Allograft Rejection;SIDS Susceptibility Pathways;IL-3 Signaling Pathway;TSLP Signaling Pathway;Vitamin B12 Metabolism;Regulation of toll-like receptor signaling pathway;Senescence and Autophagy;Cytokines and Inflammatory Response;Folate Metabolism"
"263" "Distal Myopathies" ""
"264" "Osteomalacia" "Nuclear Receptors in Lipid Metabolism and Toxicity;Vitamin D Metabolism;Drug Induction of Bile Acid Pathway;Nuclear Receptors"
"265" "Meningeal Neoplasms" "Integrated Cancer pathway;DNA Damage Response (only ATM dependent);Trans-sulfuration and one carbon metabolism;DNA Damage Response;G1 to S cell cycle control;Endochondral Ossification;TP53 Network;Apoptosis;miRNA Regulation of DNA Damage Response;Integrated Pancreatic Cancer Pathway;Integrated Breast Cancer Pathway;Signaling Pathways in Glioblastoma;Folate-Alcohol and Cancer Pathway"
"266" "Thyrotoxicosis" "One carbon donor;Glycine Metabolism;Thyroxine (Thyroid Hormone) Production;Folate-Alcohol and Cancer Pathway"
"267" "Neuroectodermal Tumors" ""
"268" "Intestinal Diseases" ""
"269" "Fibrosarcoma" ""
"270" "Bronchial Diseases" "Peptide GPCRs;Spinal Cord Injury"
"271" "Schistosomiasis mansoni" "Type II interferon signaling (IFNG);Toll-like receptor signaling pathway;Selenium Micronutrient Network;Allograft Rejection;Inflammatory Response Pathway;TGF Beta Signaling Pathway;Interleukin-11 Signaling Pathway;Oxidative Stress;MicroRNAs in cardiomyocyte hypertrophy;Spinal Cord Injury;Vitamin B12 Metabolism;Monoamine Transport;Regulation of toll-like receptor signaling pathway;AGE/RAGE pathway;Amyotrophic lateral sclerosis (ALS);Senescence and Autophagy;Cytokines and Inflammatory Response;Folate Metabolism"
"272" "Nephrosis, Lipoid" "Allograft Rejection;IL-4 Signaling Pathway;Cytokines and Inflammatory Response"
"273" "CHONDROSARCOMA, EXTRASKELETAL MYXOID" "Hypertrophy Model"
"274" "Night Blindness" ""
"275" "Phenylketonurias" "Biogenic Amine Synthesis"
"276" "Hepatoblastoma" "Adipogenesis;DNA Damage Response (only ATM dependent);IL-4 Signaling Pathway;DNA Damage Response;G1 to S cell cycle control;Oncostatin M Signaling Pathway;ErbB Signaling Pathway;Integrated Pancreatic Cancer Pathway;Senescence and Autophagy;miRNAs involved in DNA damage response"
"277" "Anus, Imperforate" ""
"278" "Respiratory System Abnormalities" ""
"279" "Nephrocalcinosis" ""
"280" "Abortion, Threatened" ""
"281" "Liver Cirrhosis, Alcoholic" "Fatty Acid Omega Oxidation"
"282" "Pituitary ACTH Hypersecretion" ""
"283" "Pericarditis" ""
"284" "Carbohydrate Metabolism, Inborn Errors" "AMPK Signaling;TOR Signaling"
"285" "Gynecomastia" "Ovarian Infertility Genes"
"286" "Hypopituitarism" ""
"287" "Lipomatosis" ""
"288" "Carcinoma in Situ" "Integrated Cancer pathway;DNA Damage Response;G1 to S cell cycle control;Cell Cycle;Spinal Cord Injury;Androgen receptor signaling pathway;ATM Signaling Pathway;TP53 Network;Apoptosis;ErbB Signaling Pathway;Integrated Pancreatic Cancer Pathway;Integrated Breast Cancer Pathway;Signaling Pathways in Glioblastoma"
"289" "Urinary Bladder Neck Obstruction" "Selenium Micronutrient Network;Eicosanoid Synthesis;Prostaglandin Synthesis and Regulation"
"290" "Poliomyelitis" ""
"291" "Retinal Dystrophies" "Vitamin A and Carotenoid Metabolism"
"292" "Nystagmus, Pathologic" ""
"293" "Erythromelalgia" ""
"294" "Brachial Plexus Neuritis" ""
"295" "alpha 1-Antitrypsin Deficiency" "Allograft Rejection;Cytokines and Inflammatory Response"
"296" "Mesenteric Vascular Occlusion" "Complement and Coagulation Cascades"
"297" "Corneal Ulcer" "Matrix Metalloproteinases;Angiogenesis;Osteopontin Signaling;AGE/RAGE pathway"
"298" "Ear Diseases" ""
"299" "Acidosis, Renal Tubular" ""
"300" "Megacolon" "Calcium Regulation in the Cardiac Cell;Myometrial Relaxation and Contraction Pathways;Arrhythmogenic Right Ventricular Cardiomyopathy"
"301" "Anemia, Neonatal" ""
"302" "Abortion, Habitual" "Complement and Coagulation Cascades;Selenium Micronutrient Network;Blood Clotting Cascade;Allograft Rejection;Vitamin B12 Metabolism;Cytokines and Inflammatory Response;Folate Metabolism"
"303" "CHROMOSOME 1q21.1 DELETION SYNDROME, 200-KB" ""
"304" "Bacterial Infections" "Toll-like receptor signaling pathway;Allograft Rejection;Spinal Cord Injury;Regulation of toll-like receptor signaling pathway;AGE/RAGE pathway;Cytokines and Inflammatory Response"
"305" "Korsakoff Syndrome" ""
"306" "Epidermodysplasia Verruciformis" ""
"307" "Cardiovirus Infections" "Matrix Metalloproteinases;Toll-like receptor signaling pathway;Selenium Micronutrient Network;Adipogenesis;Allograft Rejection;TWEAK Signaling Pathway;FAS pathway and Stress induction of HSP regulation;Aryl Hydrocarbon Receptor;Alzheimers Disease;TGF Beta Signaling Pathway;Notch Signaling Pathway;MicroRNAs in cardiomyocyte hypertrophy;Spinal Cord Injury;Apoptosis Modulation by HSP70;Monoamine Transport;Apoptosis;Arylhydrocarbon receptor (AhR) signaling pathway;Amyotrophic lateral sclerosis (ALS);EBV LMP1 signaling;TNF alpha Signaling Pathway;Type II diabetes mellitus;Cytokines and Inflammatory Response;Folate Metabolism"
"308" "Vision Disorders" ""
"309" "Vitamin E Deficiency" ""
"310" "Eating Disorders" ""
"311" "Empty Sella Syndrome" ""
"312" "Neoplasms, Squamous Cell" "Selenium Micronutrient Network;DNA Damage Response (only ATM dependent);Glycine Metabolism;TP53 Network;Apoptosis;Amyotrophic lateral sclerosis (ALS);Integrated Pancreatic Cancer Pathway;Folate-Alcohol and Cancer Pathway;Folate Metabolism"
"313" "Syndrome" "Statin Pathway;Vitamin B12 Metabolism;SREBF and miR33 in cholesterol and lipid homeostasis"
"314" "Neurotic Disorders" "Serotonin Transporter Activity;Dopamine metabolism;Biogenic Amine Synthesis"
"315" "Thymoma" ""
"316" "Aortic Valve Stenosis" "Osteoblast Signaling;Statin Pathway;ACE Inhibitor Pathway;Osteoclast Signaling"
"317" "Mitral Valve Insufficiency" "Allograft Rejection;MicroRNAs in cardiomyocyte hypertrophy;Cytokines and Inflammatory Response"
"318" "Carcinoma, Papillary" ""
"319" "Ischemic Attack, Transient" "Complement and Coagulation Cascades;Selenium Micronutrient Network;Blood Clotting Cascade;Vitamin B12 Metabolism;Folate Metabolism"
"320" "Thrombophlebitis" "Complement and Coagulation Cascades;Fluoropyrimidine Activity;Selenium Micronutrient Network;Blood Clotting Cascade;Trans-sulfuration and one carbon metabolism;One carbon donor;One Carbon Metabolism;Vitamin B12 Metabolism;Glycine Metabolism;Folate-Alcohol and Cancer Pathway;Folate Metabolism"
"321" "Germinoma" ""
"322" "Hereditary Central Nervous System Demyelinating Diseases" "BDNF signaling pathway;Adipogenesis"
"323" "Cholecystolithiasis" "Statin Pathway"
"324" "Fibroadenoma" "Integrated Cancer pathway;Estrogen signaling pathway;DNA Damage Response (only ATM dependent);Aryl Hydrocarbon Receptor;miR-targeted genes in muscle cell - TarBase;Gastric cancer network 2;Spinal Cord Injury;IL-5 Signaling Pathway;TP53 Network;Apoptosis;ErbB Signaling Pathway;Amyotrophic lateral sclerosis (ALS);Nuclear Receptors;Integrated Pancreatic Cancer Pathway;Integrated Breast Cancer Pathway;Senescence and Autophagy"
"325" "Schizophrenia, Disorganized" "Small Ligand GPCRs"
"326" "Pneumonia, Bacterial" ""
"327" "Hypergammaglobulinemia" "Allograft Rejection;Inflammatory Response Pathway;Cytokines and Inflammatory Response"
"328" "Bronchiolitis" "Toll-like receptor signaling pathway;Allograft Rejection;Spinal Cord Injury;Regulation of toll-like receptor signaling pathway;EBV LMP1 signaling;Folate Metabolism"
"329" "Farmer's Lung" ""
"330" "Intestinal Obstruction" ""
"331" "Intracranial Embolism" "Vitamin B12 Metabolism"
"332" "Hypobetalipoproteinemias" "Selenium Micronutrient Network;Statin Pathway;Vitamin B12 Metabolism"
"333" "Adrenal Cortex Neoplasms" "Integrated Pancreatic Cancer Pathway"
"334" "Common Bile Duct Neoplasms" "Wnt Signaling Pathway Netpath;DNA Damage Response (only ATM dependent);Irinotecan Pathway;Regulation of Microtubule Cytoskeleton;Gastric cancer network 1;Wnt Signaling Pathway;Wnt Signaling Pathway and Pluripotency"
"335" "Brain Damage, Chronic" "Fatty Acid Omega Oxidation;Tryptophan metabolism"
"336" "Helminthiasis" "Monoamine GPCRs"
"337" "Sarcoidosis, Pulmonary" ""
"338" "Leprosy, Tuberculoid" ""
"339" "Tuberculosis, Lymph Node" "Toll-like receptor signaling pathway;Regulation of toll-like receptor signaling pathway"
"340" "Rheumatic Heart Disease" "Allograft Rejection;TWEAK Signaling Pathway;TGF Beta Signaling Pathway;Cardiac Progenitor Differentiation;MicroRNAs in cardiomyocyte hypertrophy;Spinal Cord Injury;Monoamine Transport;IL-1 signaling pathway;Amyotrophic lateral sclerosis (ALS);Integrated Pancreatic Cancer Pathway;MAPK Signaling Pathway;Cytokines and Inflammatory Response"
"341" "Vitamin B 12 Deficiency" "Fluoropyrimidine Activity;Trans-sulfuration and one carbon metabolism;One carbon donor;One Carbon Metabolism;Vitamin B12 Metabolism;Glycine Metabolism;Folate-Alcohol and Cancer Pathway;Folate Metabolism"
"342" "Arthritis, Infectious" ""
"343" "Nut Hypersensitivity" "Adipogenesis;IL-4 Signaling Pathway;TSLP Signaling Pathway"
