"pathway" "deceacelist"
"195" "Nuclear Receptors" "BLADDER CANCER;Urinary Bladder Neoplasms;Obesity;Carpal Tunnel Syndrome;Coronary Disease;Adenoma;Primary Ovarian Insufficiency;Osteomalacia;Cryptorchidism;Carcinoma, Endometrioid;ENDOMETRIAL CANCER;Infertility, Male;Hypoglycemia;Metabolic Diseases;Choriocarcinoma;Leiomyoma;Leiomyomatosis;Granulosa Cell Tumor;Adrenocortical Carcinoma;Pulmonary Sclerosing Hemangioma;Endometrial Neoplasms;Hepatitis B;Gonadal Dysgenesis, 46,XY;Sciatic Neuropathy"
"196" "Dopamine metabolism" "Alzheimer Disease;Obesity;Heroin Dependence;Dyskinesias;Neurotic Disorders;Depression, Postpartum;Wolfram Syndrome;Sudden Infant Death;Lewy Body Disease;Learning Disorders;Parkinson Disease;Fibromyalgia;Panic Disorder;Schizophrenia, Paranoid"
"197" "Wnt Signaling Pathway and Pluripotency" "Keratoacanthoma;Cecal Neoplasms"
"198" "EBV LMP1 signaling" "Spinal Cord Diseases;Anemia;Multiple Sclerosis;Colitis, Ulcerative;Tuberculosis, Pulmonary;Endometriosis;HIV-Associated Lipodystrophy Syndrome;Cardiovirus Infections;Bronchiolitis;Otitis Media with Effusion;Malaria, Vivax;Salpingitis;Vaccinia;Nephrotic Syndrome;Pancreatic Neoplasms;Arthritis, Rheumatoid;Scleroderma, Systemic;Arthritis;Pancreatitis, Chronic;Hyperglycemia;Stomach Ulcer;Cerebral Palsy;Fetal Membranes, Premature Rupture;Dermatitis, Irritant;Lymphohistiocytosis, Hemophagocytic;Hantavirus Infections;Aneurysm;Glomerulonephritis;Stomach Diseases;Multiple Myeloma;Osteosarcoma;Leishmaniasis, Cutaneous;Pneumonia;Peptic Ulcer;Tuberous Sclerosis;Gastritis;Silicosis;Fibromyalgia;Ectodermal Dysplasia;Anaplasmosis;Cholera;Melanoma;Helicobacter Infections;Hepatitis B;Incontinentia Pigmenti;Tauopathies;Cholangitis, Sclerosing;Gastritis, Atrophic;Influenza, Human;Boutonneuse Fever;Hyaline Membrane Disease;Pulpitis"
"199" "PDGF Pathway" "Dermatofibrosarcoma;Glioma;LEOPARD Syndrome;Noonan Syndrome"
"200" "Fatty Acid Beta Oxidation" "Hyperlipoproteinemias;Lipid Metabolism, Inborn Errors;Hyperlipidemias;Hyperinsulinism;Neuromuscular Diseases"
"201" "Thyroxine (Thyroid Hormone) Production" "Adenoma;Thyroid Neoplasms;Thyrotoxicosis;Goiter;Stereotypic Movement Disorder;Congenital Hypothyroidism;Goiter, Nodular;Pseudohypoparathyroidism;Thyroiditis, Autoimmune;Graves Disease;Thyroid Diseases;Hypothyroidism"
"202" "Biogenic Amine Synthesis" "Heroin Dependence;Anxiety Disorders;Phenylketonurias;Neurotic Disorders;Depression, Postpartum;Wolfram Syndrome;Mental Disorders;Anorexia Nervosa;Sudden Infant Death;Lewy Body Disease;Learning Disorders;Parkinson Disease;Neuronal Ceroid-Lipofuscinoses;Alcohol Withdrawal Delirium;Fibromyalgia;Schizotypal Personality Disorder;Panic Disorder;Bipolar Disorder;Dyskinesia, Drug-Induced;Schizophrenia, Paranoid;Stiff-Person Syndrome"
"203" "mRNA Processing" "Muscular Dystrophy, Oculopharyngeal"
"204" "TNF alpha Signaling Pathway" "Colonic Neoplasms;Glioma;Lymphoma;Multiple Myeloma;Osteosarcoma;Ectodermal Dysplasia;Leukemia;Hodgkin Disease;Incontinentia Pigmenti;Histiocytosis, Langerhans-Cell"
"205" "IL-6 signaling pathway" "PROSTATE CANCER;Multiple Sclerosis;Hyperparathyroidism, Secondary;Ovarian Neoplasms;Heart Diseases;Colonic Neoplasms;Glioblastoma;Hepatitis C;Cholangiocarcinoma;Thrombocythemia, Essential;Aortic Aneurysm, Abdominal;Lymphoma;Multiple Myeloma;Plasmacytoma;OVARIAN CANCER;Prostatic Neoplasms;Noonan Syndrome;Melanoma;Leukemia, Myelogenous, Chronic, BCR-ABL Positive;Leukemia;Hodgkin Disease"
"206" "Arrhythmogenic Right Ventricular Cardiomyopathy" "Muscular Dystrophies;Scleroderma, Localized;Thrombasthenia;Muscular Dystrophies, Limb-Girdle;Cardiomyopathy, Dilated;Pemphigoid, Bullous"
"207" "SREBF and miR33 in cholesterol and lipid homeostasis" "Atherosclerosis;Diabetes Mellitus;Hyperlipoproteinemias;Hyperlipidemia, Familial Combined;Niemann-Pick Disease, Type C;Syndrome;Hyperlipidemias;Arteriosclerosis;Hepatitis C;Metabolic Diseases;Kidney Failure, Chronic;Hypercholesterolemia;Fatty Liver;Fatty Liver, Alcoholic;Niemann-Pick Diseases"
"208" "Integrated Pancreatic Cancer Pathway" "GASTRIC CANCER;Alzheimer Disease;LUNG CANCER;PROSTATE CANCER;BLADDER CANCER;Urinary Bladder Neoplasms;Keratosis, Seborrheic;Carcinoma, Renal Cell;Wilms Tumor;Esophageal Neoplasms;Nervous System Diseases;Stomach Neoplasms;Pituitary Neoplasms;Skin Neoplasms;Adenoma;Mesothelioma;Rectal Neoplasms;Breast Neoplasms, Male;Soft Tissue Neoplasms;Thyroid Neoplasms;Hereditary Breast and Ovarian Cancer Syndrome;Uterine Neoplasms;Endometriosis;Folic Acid Deficiency;Seminoma;Rhabdomyosarcoma;Meningeal Neoplasms;Hepatoblastoma;Carcinoma in Situ;Bacterial Infections;Neoplasms, Squamous Cell;Fibroadenoma;Adrenal Cortex Neoplasms;Rheumatic Heart Disease;Carcinoma, Ductal;Nerve Sheath Neoplasms;Herpes Simplex;Carcinoma, Verrucous;Keratosis, Actinic;Fallopian Tube Neoplasms;Proteus Syndrome;Ovarian Neoplasms;Cryptorchidism;Gastrointestinal Stromal Tumors;Carcinoma, Endometrioid;ENDOMETRIAL CANCER;Burkitt Lymphoma;Carcinoma;Neuroblastoma;Status Epilepticus;Adenocarcinoma;Pancreatic Neoplasms;Colonic Neoplasms;Retinal Detachment;Glioblastoma;Intestinal Neoplasms;Glioma;Neurodegenerative Diseases;Adenocarcinoma, Clear Cell;Uterine Cervical Neoplasms;Glaucoma;Cholangiocarcinoma;Mixed Tumor, Mullerian;Fetal Membranes, Premature Rupture;Neuroma, Acoustic;Still's Disease, Adult-Onset;Phyllodes Tumor;Giant Cell Tumors;Adenoma, Pleomorphic;Carcinoma, Mucoepidermoid;Myoma;Keratoacanthoma;BREAST CANCER;Breast Neoplasms;Rubinstein-Taybi Syndrome;Autoimmune Lymphoproliferative Syndrome;Lung Neoplasms;Carcinoma, Squamous Cell;Liver Neoplasms;Diabetic Retinopathy;Carcinoma, Transitional Cell;Digestive System Neoplasms;Gastrointestinal Neoplasms;Head and Neck Neoplasms;Carcinoma, Ductal, Breast;Lymphoma;Gallbladder Neoplasms;Multiple Myeloma;Sarcoma, Synovial;Osteosarcoma;Pulmonary Fibrosis;Cecal Neoplasms;Papilloma;Brain Neoplasms;Oral Submucous Fibrosis;Hemangiosarcoma;Leiomyosarcoma;Leiomyoma;Penile Neoplasms;Tuberous Sclerosis;Leukemia, Myeloid;Meningioma;Carcinosarcoma;Retinoblastoma;Adenocarcinoma, Mucinous;PANCREATIC CANCER;Peripheral Nervous System Neoplasms;Medulloblastoma;Bloom Syndrome;OVARIAN CANCER;Prostatic Neoplasms;Leukemia, Myeloid, Acute;Noonan Syndrome;Melanoma;Leukemia, Myelogenous, Chronic, BCR-ABL Positive;Carcinoma, Non-Small-Cell Lung;Endometrial Neoplasms;Leukemia;Kidney Neoplasms;Neuroendocrine Tumors;Helicobacter Infections;Li-Fraumeni Syndrome;Hodgkin Disease;Hepatitis B;Oligodendroglioma;Prion Diseases;Sciatic Neuropathy;Lymphoproliferative Disorders;Breast Diseases;Myeloproliferative Disorders;Cholesteatoma"
"209" "Alpha 6 Beta 4 signaling pathway" "PROSTATE CANCER;Alexander Disease;Epidermolysis Bullosa, Junctional;Keratosis, Actinic;Pancreatic Neoplasms;Colonic Neoplasms;Glioblastoma;Glioma;Scleroderma, Systemic;Paget Disease, Extramammary;BREAST CANCER;Breast Neoplasms;Carcinoma, Squamous Cell;Brain Neoplasms;Prostatic Neoplasms;Noonan Syndrome;Polycystic Kidney, Autosomal Dominant;Cholesteatoma"
"210" "TSH signaling pathway" "Alexander Disease;Thyroid Neoplasms;Keratosis, Actinic;Ovarian Neoplasms;Carcinoma;Pancreatic Neoplasms;Glioblastoma;Glioma;Congenital Hypothyroidism;Cholangiocarcinoma;Liver Neoplasms;Papilloma;Retinoblastoma;Hypothyroidism;OVARIAN CANCER;Noonan Syndrome;Melanoma;Leukemia, Myelogenous, Chronic, BCR-ABL Positive;Leukemia"
"211" "Tryptophan metabolism" "Leiomyomatosis"
"212" "Ovarian Infertility Genes" "Hyperparathyroidism, Secondary;Primary Ovarian Insufficiency;Gynecomastia;Ovarian Neoplasms;Carcinoma, Endometrioid;ENDOMETRIAL CANCER;Infertility, Male;Amenorrhea;Puberty, Delayed;Puberty, Precocious;Choriocarcinoma;Leiomyoma;Leiomyomatosis;Granulosa Cell Tumor;Adrenocortical Carcinoma;OVARIAN CANCER;Hypogonadism"
"213" "Integrated Breast Cancer Pathway" "LUNG CANCER;PROSTATE CANCER;BLADDER CANCER;Urinary Bladder Neoplasms;Carcinoma, Renal Cell;Esophageal Neoplasms;Stomach Neoplasms;Laryngeal Neoplasms;Pituitary Neoplasms;Rectal Neoplasms;Breast Neoplasms, Male;Thyroid Neoplasms;Hereditary Breast and Ovarian Cancer Syndrome;Uterine Neoplasms;Endometriosis;Chordoma;Rhabdomyosarcoma;Meningeal Neoplasms;Carcinoma in Situ;Fibroadenoma;Carcinoma, Adenosquamous;Angiomyolipoma;Carcinoma, Ductal;Carcinoma, Verrucous;Vaccinia;Fallopian Tube Neoplasms;Proteus Syndrome;COLORECTAL CANCER;Ovarian Neoplasms;Carcinoma, Endometrioid;ENDOMETRIAL CANCER;Carcinoma;Adenocarcinoma;Pancreatic Neoplasms;Ureteral Neoplasms;Colonic Neoplasms;Colorectal Neoplasms, Hereditary Nonpolyposis;Glioblastoma;Intestinal Neoplasms;Glioma;Small Cell Lung Carcinoma;Adenocarcinoma, Clear Cell;Uterine Cervical Neoplasms;Cholangiocarcinoma;Thrombocythemia, Essential;Astrocytoma;Neuroma, Acoustic;Carcinoma, Mucoepidermoid;Cystadenoma, Serous;Papilloma, Inverted;Heart Neoplasms;BREAST CANCER;Breast Neoplasms;Hamartoma Syndrome, Multiple;PULMONARY HYPERTENSION, PRIMARY, 1;Neurofibromatoses;Neurofibromatosis 1;Lung Neoplasms;Carcinoma, Squamous Cell;Carcinoma, Transitional Cell;Head and Neck Neoplasms;Carcinoma, Ductal, Breast;Lymphoma;Sarcoma, Synovial;Osteosarcoma;Cecal Neoplasms;Brain Neoplasms;Hemangiosarcoma;Leiomyoma;Tuberous Sclerosis;Meningioma;Retinoblastoma;Neoplastic Syndromes, Hereditary;PANCREATIC CANCER;Sarcoma, Clear Cell;Adrenocortical Carcinoma;OVARIAN CANCER;Prostatic Neoplasms;Neurofibromatosis 2;Peutz-Jeghers Syndrome;Melanoma;Leukemia, Myelogenous, Chronic, BCR-ABL Positive;Endometrial Neoplasms;Leukemia;Kidney Neoplasms;Neuroendocrine Tumors;Li-Fraumeni Syndrome;Gliosarcoma;Nijmegen Breakage Syndrome;Breast Diseases"
"214" "MAPK Signaling Pathway" "LUNG CANCER;Rheumatic Heart Disease;Status Epilepticus;Glioma;Hyperglycemia;MERRF Syndrome;Fetal Membranes, Premature Rupture;Chlamydophila Infections;Autoimmune Lymphoproliferative Syndrome;Lymphoma;Silicosis;Noonan Syndrome;HIV Wasting Syndrome"
"215" "Homologous recombination" "Ataxia Telangiectasia;Fanconi Anemia;Bloom Syndrome;Nijmegen Breakage Syndrome"
"216" "Senescence and Autophagy" "PROSTATE CANCER;Osteogenesis Imperfecta;BLADDER CANCER;Urinary Bladder Neoplasms;Alexander Disease;Carcinoma, Renal Cell;Esophageal Neoplasms;Atherosclerosis;Stomach Neoplasms;Brain Ischemia;Ischemia;Pituitary Neoplasms;Adenoma;Osteoporosis;Mesothelioma;Rectal Neoplasms;Neoplasms, Basal Cell;Soft Tissue Neoplasms;Thyroid Neoplasms;Endometriosis;Hyperparathyroidism, Secondary;Leishmaniasis;Angina, Unstable;Leukemia, Lymphoid;Schistosomiasis mansoni;Hepatoblastoma;Fibroadenoma;Carcinoma, Ductal;Pneumoconiosis;Vaginal Diseases;Lyme Neuroborreliosis;Dermatofibrosarcoma;Carcinoma, Verrucous;Keratosis, Actinic;Stomatitis, Aphthous;Hypoxia-Ischemia, Brain;Smooth Muscle Tumor;COLORECTAL CANCER;Ovarian Neoplasms;SQUAMOUS CELL CARCINOMA, HEAD AND NECK;Carcinoma, Endometrioid;ENDOMETRIAL CANCER;Carcinoma;Adenocarcinoma;Pancreatic Neoplasms;Vascular Diseases;Arthritis, Rheumatoid;Colonic Neoplasms;Infarction, Middle Cerebral Artery;Sarcoidosis;Glioblastoma;Intestinal Neoplasms;Glioma;Adenocarcinoma, Clear Cell;Uterine Cervical Neoplasms;Hepatitis C;Scleroderma, Systemic;Pancreatitis, Chronic;Polymyositis;Hyperglycemia;Myositis, Inclusion Body;Appendicitis;MERRF Syndrome;Stomach Ulcer;Embolism, Cholesterol;Cerebral Palsy;Fetal Membranes, Premature Rupture;Sjogren's Syndrome;Neuroma, Acoustic;Obstetric Labor, Premature;Vaginosis, Bacterial;Adenocarcinoma, Papillary;Keratoacanthoma;Aneurysm;Epidermolysis Bullosa Dystrophica;Thyroid Nodule;Craniopharyngioma;BREAST CANCER;Breast Neoplasms;OSTEOGENESIS IMPERFECTA, TYPE I;LEOPARD Syndrome;Lung Neoplasms;Carcinoma, Squamous Cell;Liver Neoplasms;Heart Failure;Stroke;Glomerulonephritis;Respiratory Distress Syndrome, Adult;Carcinoma, Transitional Cell;Head and Neck Neoplasms;Carcinoma, Basal Cell;Lymphoma;Gallbladder Neoplasms;Multiple Myeloma;Sarcoma, Synovial;Osteosarcoma;Uremia;Pulmonary Fibrosis;Leishmaniasis, Cutaneous;Papilloma;Fatty Liver;Fatty Liver, Alcoholic;Pneumonia;Hemangiosarcoma;Leiomyosarcoma;Stomatitis;Leukemia, Monocytic, Acute;Leiomyoma;Encephalitis;Penile Neoplasms;Kearns-Sayre Syndrome;Mitochondrial Myopathies;Leukemia, Myeloid;MENINGIOMA, FAMILIAL;Schistosomiasis japonica;Retinoblastoma;Gastritis;Antiphospholipid Syndrome;AIDS Dementia Complex;Brucellosis;Pemphigoid, Benign Mucous Membrane;Nevus, Pigmented;PANCREATIC CANCER;MESOTHELIOMA, MALIGNANT;OVARIAN CANCER;Prostatic Neoplasms;Leukemia, Myeloid, Acute;Noonan Syndrome;Liver Cirrhosis;Melanoma;Leukemia, Myelogenous, Chronic, BCR-ABL Positive;Myocardial Infarction;Carcinoma, Non-Small-Cell Lung;Cerebral Infarction;Endometrial Neoplasms;Neuroendocrine Tumors;Pulmonary Disease, Chronic Obstructive;Helicobacter Infections;Li-Fraumeni Syndrome;Hepatitis B;Periodontitis;Anus Neoplasms;Corneal Diseases;HIV Wasting Syndrome;Lyme Disease;Breast Cyst;Cholesteatoma"
"217" "Cori Cycle" "Fanconi Syndrome;Anemia, Hemolytic;Anemia, Hemolytic, Congenital Nonspherocytic;Anemia, Hemolytic, Congenital"
"218" "Endothelin Pathways" "Heart Failure;Migraine Disorders;Myocardial Ischemia"
"219" "MAPK Cascade" "LUNG CANCER;Skin Neoplasms;Rectal Neoplasms;Rhabdomyosarcoma;Keratosis, Actinic;Ovarian Neoplasms;Adenocarcinoma;Colonic Neoplasms;Scleroderma, Systemic;Cholangiocarcinoma;Astrocytoma;Nevus;Neurofibrosarcoma;Carcinoma, Mucoepidermoid;Cystadenoma, Serous;Paget Disease, Extramammary;Nevus, Epithelioid and Spindle Cell;Lung Neoplasms;Liver Neoplasms;Hemangiosarcoma;Gastroesophageal Reflux;Penile Neoplasms;Nevus, Pigmented;Sigmoid Neoplasms;Conjunctival Neoplasms;OVARIAN CANCER;Noonan Syndrome;Leukemia, Myelogenous, Chronic, BCR-ABL Positive;Carcinoma, Papillary, Follicular;Cholesteatoma"
"220" "p38 MAPK Signaling Pathway" "Mumps"
"221" "pilocytic astrocytoma" "Exostoses, Multiple Hereditary;Intestinal Diseases;Fibrosarcoma;Pulmonary Valve Stenosis;Nerve Sheath Neoplasms;Enchondromatosis;Heart Diseases;Hematologic Diseases;Dental Enamel Hypoplasia;Neurofibromatoses;Neurofibromatosis 1;LEOPARD Syndrome;Heart Septal Defects, Atrial;Multiple Endocrine Neoplasia;Neurofibroma;Peripheral Nervous System Neoplasms;Neurofibromatosis 2;Noonan Syndrome;Alopecia;Liposarcoma;Gastritis, Atrophic"
"222" "Signaling Pathways in Glioblastoma" "Ataxia Telangiectasia;LUNG CANCER;PROSTATE CANCER;PFEIFFER SYNDROME;BLADDER CANCER;Urinary Bladder Neoplasms;Keratosis, Seborrheic;Carcinoma, Renal Cell;Craniosynostoses;Esophageal Neoplasms;Stomach Neoplasms;Pituitary Neoplasms;Skin Neoplasms;Adenoma;Mesothelioma;Rectal Neoplasms;Thyroid Neoplasms;Hereditary Breast and Ovarian Cancer Syndrome;Spinal Dysraphism;Uterine Neoplasms;Endometriosis;Hyperparathyroidism, Secondary;Rhabdomyosarcoma, Alveolar;Rhabdomyosarcoma;Meningeal Neoplasms;Hepatoblastoma;Carcinoma in Situ;Carcinoma, Papillary;Carcinoma, Adenosquamous;Angiomyolipoma;Carcinoma, Ductal;Glucose Metabolism Disorders;Nerve Sheath Neoplasms;Dermatofibrosarcoma;Carcinoma, Verrucous;Keratosis, Actinic;Fallopian Tube Neoplasms;Proteus Syndrome;Ovarian Neoplasms;SQUAMOUS CELL CARCINOMA, HEAD AND NECK;Gastrointestinal Stromal Tumors;Polycystic Kidney, Autosomal Recessive;Carcinoma, Endometrioid;ENDOMETRIAL CANCER;Carcinoma;Neuroblastoma;Adenocarcinoma;Pancreatic Neoplasms;Colonic Neoplasms;Glioblastoma;Intestinal Neoplasms;Glioma;Small Cell Lung Carcinoma;Uterine Cervical Neoplasms;Hepatitis C;Cholangiocarcinoma;Lung adenocarcinoma;Hyperglycemia;Astrocytoma;Gastrinoma;Mixed Tumor, Mullerian;Neuroma, Acoustic;Thymus Neoplasms;Rhabdoid Tumor;Adenocarcinoma, Papillary;Phyllodes Tumor;Giant Cell Tumors;Adenoma, Pleomorphic;Carcinoma, Mucoepidermoid;Keratoacanthoma;Cystadenoma, Serous;Papilloma, Inverted;Sarcoma, Endometrial Stromal;Heart Neoplasms;BREAST CANCER;Breast Neoplasms;Hamartoma Syndrome, Multiple;Chondrosarcoma;Neurofibromatoses;Neurofibromatosis 1;LEOPARD Syndrome;Lung Neoplasms;Carcinoma, Squamous Cell;Liver Neoplasms;Carcinoma, Transitional Cell;Head and Neck Neoplasms;Carcinoma, Ductal, Breast;Lymphoma;Multiple Myeloma;Sarcoma, Synovial;Osteosarcoma;Cecal Neoplasms;Papilloma;Brain Neoplasms;Hemangiosarcoma;Leiomyosarcoma;Leiomyoma;Penile Neoplasms;Meningioma;MENINGIOMA, FAMILIAL;Carcinosarcoma;Retinoblastoma;Multiple Endocrine Neoplasia;Nevus, Pigmented;Neurofibroma;PANCREATIC CANCER;MESOTHELIOMA, MALIGNANT;Peripheral Nervous System Neoplasms;Sarcoma, Clear Cell;Medulloblastoma;OVARIAN CANCER;Prostatic Neoplasms;Leukemia, Myeloid, Acute;Neurofibromatosis 2;Noonan Syndrome;Peutz-Jeghers Syndrome;Melanoma;Leukemia, Myelogenous, Chronic, BCR-ABL Positive;Carcinoma, Non-Small-Cell Lung;Endometrial Neoplasms;Leukemia;Neuroendocrine Tumors;Rhabdomyosarcoma, Embryonal;Liposarcoma;Li-Fraumeni Syndrome;Hodgkin Disease;Carcinoma, Large Cell;Gliosarcoma;Oligodendroglioma;Myeloproliferative Disorders;Adenocarcinoma, Bronchiolo-Alveolar;Neurilemmoma;Cholesteatoma"
"223" "Serotonin Receptor 4/6/7 and NR3C Signaling" "Keratosis, Actinic;Cholangiocarcinoma;Paget Disease, Extramammary;Gastroesophageal Reflux;Noonan Syndrome;Cholesteatoma"
"224" "Colchicine Metabolic Pathway" ""
"225" "TFs Regulate miRNAs related to cardiac hypertrophy" "Hyperglycemia"
"226" "Small Ligand GPCRs" ""
"227" "Ganglio Sphingolipid Metabolism" ""
"228" "Transcriptional activation by NRF2" ""
"229" "Type II diabetes mellitus" "Diabetes Mellitus;Hyperlipoproteinemias;HIV-Associated Lipodystrophy Syndrome;Hyperlipidemias;Hypoglycemia;Hyperglycemia;Diabetes Mellitus, Type 2;Diabetes, Gestational;Polycystic Ovary Syndrome;Migraine Disorders;Migraine without Aura;Hyperinsulinism;Tuberous Sclerosis;Myotonic Dystrophy"
"230" "Non-homologous end joining" "Neuroectodermal Tumors;Herpes Simplex"
"231" "Oxidation by Cytochrome P450" "Occupational Diseases;GLUCOCORTICOID-REMEDIABLE ALDOSTERONISM;Leiomyomatosis"
"232" "Eukaryotic Transcription Initiation" ""
"233" "RB in Cancer" "Fanconi Anemia"
"234" "Striated Muscle Contraction" "Myopathies, Nemaline;Cardiomyopathy, Hypertrophic, Familial;Cardiomyopathy, Hypertrophic;Cardiomyopathy, Restrictive;Cardiomyopathy, Dilated"
"235" "Neural Crest Differentiation" "PFEIFFER SYNDROME;Craniosynostoses;Cleft Lip;Acrocephalosyndactylia;Craniofacial Abnormalities;SAETHRE-CHOTZEN SYNDROME;Cleft Palate;Waardenburg's Syndrome;Synostosis"
"236" "miRNA Biogenesis" "Pulmonary Blastoma;PLEUROPULMONARY BLASTOMA"
"237" "BMP Signalling and Regulation" "Craniofacial Abnormalities;EBSTEIN ANOMALY;PULMONARY HYPERTENSION, PRIMARY, 1;Cleidocranial Dysplasia;Hypertension, Pulmonary;Uremia"
"238" "Iron metabolism in placenta" "Anemia;beta-Thalassemia;Toxoplasmosis;Hemochromatosis;Iron Overload;Arenaviridae Infections"
